,0
Y96m,1.1406406381773085e-06
Y97,5.681351922271709e-07
Y97m,5.129326926123084e-07
Y97n,6.194011114235309e-07
Y98,7.710509593243185e-07
Y98m,8.242007711414849e-07
Y99,1.9656124701274727e-07
Y101,1.6686525495360997e-07
Zr83,2.2890271369439392e-07
Zr84,1.5989550161623845e-07
Zr85,2.8833620167036356e-07
Zr85m,4.1797300660226994e-08
Zr86,4.922136112383934e-08
Zr87,1.854666617804003e-07
Zr87m,2.889825842137005e-08
Zr88,6.872664784004301e-08
Zr89,5.222539377112092e-08
Zr89m,1.344675874698985e-07
Zr90m,7.010756505894884e-07
Zr95,1.604674174218887e-07
Zr97,3.729814338091304e-08
Zr99,1.5810725361244195e-07
Zr100,4.3952124629993866e-08
Zr101,1.410409431725058e-07
Zr102,4.7423590383209924e-08
Nb82,1.9376276469585186e-07
Nb84,3.3477423037471236e-07
Nb86,8.261805714848292e-07
Nb87,2.1586039997709488e-07
Nb87m,3.84898688246699e-07
Nb88,9.450188140369347e-07
Nb88m,9.348554478629272e-07
Nb89,3.2021242260956576e-07
Nb89m,3.622431476046725e-07
Nb90,4.5396132287641107e-07
Nb90m,9.050259235964271e-09
Nb90n,2.989893541783496e-08
Nb91,5.2681046483305045e-09
Nb91m,1.1520603967859828e-08
Nb92,3.3795692415134573e-07
Nb92m,2.3564754607307611e-07
Nb93m,9.177561790524502e-10
Nb94,3.544878151611634e-07
Nb94m,4.628163008036407e-09
Nb95,1.6986105393899864e-07
Nb95m,1.141632099986228e-08
Nb96,5.576386615974326e-07
Nb97,1.3977717104515266e-07
Nb97m,1.595194939861098e-07
Nb98,7.997862231904393e-08
Nb98m,6.703632640961078e-07
Nb99,1.909709403587788e-08
Nb99m,1.7836160661052477e-07
Nb100,1.630039796358325e-07
Nb100m,4.452246274259137e-07
Nb101,4.487083087252568e-08
Nb103,2.3535117413308428e-07
Mo87,2.247252542129417e-07
Mo88,3.016697064437612e-08
Mo89,2.4803519326766254e-07
Mo90,1.4985117389531756e-07
Mo91,1.880546826421733e-07
Mo91m,3.186894750207571e-07
Mo93,5.047188649301673e-09
Mo93m,5.721716912093761e-07
Mo99,3.0569876983550705e-08
Mo101,3.51968894205489e-07
